project	method	n_deg_untrimmed	n_deg_trimmed	deg_jaccard	deg_gained	deg_lost	rho_log2fc	rho_top50_rank	n_path_untrimmed	n_path_trimmed	path_jaccard	rho_nes	dir_concordance
PRJNA509121	P10	111	111	1.0	0	0	0.9994113363784659	0.9997118847539016	35	34	0.9714285714285714	0.997406962785114	1.0
PRJNA509121	P20	111	115	0.9482758620689655	5	1	0.9151747311904125	0.9815606242496998	35	40	0.875	0.9927010804321729	1.0
PRJNA509121	P35	111	0	0.0	0	111	0.05353662580440261		35	0	0.0		
PRJNA528522	A	6181	6184	0.9982223658694247	7	4	0.9998061368348241	0.9998079231692677	46	46	1.0	0.9992316926770708	1.0
PRJNA528522	P5	6181	6184	0.9933902950185394	22	19	0.9986671724573111	0.9977911164465786	46	46	1.0	0.9986554621848739	1.0
PRJNA528522	P10	6181	6178	0.9914598775378666	25	28	0.9986442951161728	0.99875150060024	46	46	1.0	0.999423769507803	1.0
PRJNA528522	P20	6181	6496	0.9054561851796182	472	157	0.9450796136621213	0.8681392557022809	46	44	0.9565217391304348	0.99875150060024	1.0
PRJNA528522	P35	6181	4961	0.6820652173913043	443	1663	0.7646897407343395	0.5071308523409364	46	46	0.9574468085106383	0.991452581032413	1.0
PRJNA544334	A	4727	5590	0.843638313080772	869	6	0.9920928992941065	0.9996158463385355	43	43	1.0	0.9998079231692677	1.0
PRJNA544334	P5	4727	5712	0.8167420814479638	1019	34	0.878499775150782	0.9710924369747899	43	42	0.9767441860465116	0.997406962785114	1.0
PRJNA544334	P10	4727	5687	0.8209477181325406	992	32	0.8783029239118326	0.9701320528211285	43	44	0.9772727272727273	0.997406962785114	1.0
PRJNA544334	P20	4727	6171	0.7068128425998433	1658	214	0.7584086582735706	0.7758463385354141	43	47	0.9148936170212766	0.9885714285714285	1.0
PRJNA544334	P35	4727	660	0.11833091135561553	90	4157	0.7043846214549193	0.3376230492196879	43	44	0.8125	0.9720528211284514	1.0
PRJNA610985	A	119	128	0.8432835820895522	15	6	0.9522240641960045	0.9878991596638654	38	36	0.8974358974358975	0.9836734693877551	1.0
PRJNA610985	P5	119	127	0.849624060150376	14	6	0.952040361665097	0.9878991596638654	38	38	0.9487179487179487	0.9841536614645856	1.0
PRJNA610985	P10	119	127	0.849624060150376	14	6	0.9517881981684525	0.9881872749099639	38	38	0.9487179487179487	0.9878031212484993	1.0
PRJNA610985	P20	119	120	0.7969924812030075	14	13	0.9035724285172129	0.98828331332533	38	38	0.9	0.9753181272509003	1.0
PRJNA610985	P35	119	0	0.0	0	119			38	0	0.0		
PRJNA623750	A	363	375	0.937007874015748	18	6	0.9982055568317904	0.9913565426170469	34	34	1.0	0.9930852340936375	1.0
PRJNA623750	P5	363	369	0.9263157894736842	17	11	0.9974826188339172	0.9904921968787515	34	34	0.9428571428571428	0.991452581032413	1.0
PRJNA623750	P10	363	370	0.9289473684210526	17	10	0.9974098736366471	0.9909723889555822	34	35	0.9166666666666666	0.9830012004801921	1.0
PRJNA623750	P20	363	419	0.7494407158836689	84	28	0.9601086513441418	0.6493637454981993	34	29	0.8529411764705882	0.9854981992797118	1.0
PRJNA623750	P35	363	0	0.0	0	363			34	0	0.0		
PRJNA625628	A	13018	13295	0.9312293577981652	607	330	0.9912432581961486	0.7674909963985593	48	48	1.0	0.9955822328931572	1.0
PRJNA625628	P5	13018	13308	0.9327508993465972	603	313	0.9919649692400626	0.7760384153661464	48	48	1.0	0.9951020408163265	1.0
PRJNA625628	P10	13018	13328	0.9303927315357562	630	320	0.9913070710193883	0.7616326530612244	48	48	1.0	0.9957743097238896	1.0
PRJNA625628	P20	13018	14551	0.8083961954739258	2227	694	0.9426036698297523	0.7131332533013205	48	48	1.0	0.9913565426170469	1.0
PRJNA625628	P35	13018	0	0.0	0	13018	0.009987803282385114	-0.4047733389223451	48	48	0.92	-0.5308523409363746	0.35
PRJNA634200	A	11902	11942	0.9926458298512452	64	24	0.9979490898012937	0.996062424969988	42	43	0.9318181818181818	0.9937575030012005	1.0
PRJNA634200	P5	11902	12123	0.9570707070707071	374	153	0.988023963392836	0.6965186074429772	42	40	0.9523809523809523	0.9896278511404561	1.0
PRJNA634200	P10	11902	12161	0.9552287316161534	405	146	0.9873627227832499	0.6084513805522209	42	43	0.9767441860465116	0.9943337334933974	1.0
PRJNA634200	P20	11902	12812	0.8724145768618835	1297	387	0.9600410002298921	0.2809603841536614	42	44	0.9111111111111111	0.9928931572629051	1.0
PRJNA634200	P35	11902	0	0.0	0	11902			42	0	0.0		
PRJNA664293	A	0	0		0	0	0.9743598665171135	0.8578631452581031	36	38	0.8974358974358975	0.9877070828331332	1.0
PRJNA664293	P5	0	0		0	0	0.9203741674678192	0.8557503001200479	36	40	0.9	0.9832893157262904	1.0
PRJNA664293	P10	0	0		0	0	0.9204478662081808	0.8557503001200479	36	38	0.9473684210526315	0.9845378151260503	1.0
PRJNA664293	P20	0	0		0	0	0.7374785882639229	0.596062424969988	36	47	0.7659574468085106	0.9416086434573829	1.0
PRJNA664293	P35	0	0		0	0	-0.015086859020058711		36	49	0.7346938775510204	-0.23399759903961587	0.1
PRJNA673295	A	0	0		0	0	0.9999937015252289	0.9710924369747899	26	30	0.8666666666666667	0.9962545018007202	1.0
PRJNA673295	P5	0	0		0	0	0.9999932267370317	0.9710924369747899	26	30	0.8666666666666667	0.9955822328931572	1.0
PRJNA673295	P10	0	0		0	0	0.999975826346443	0.9710924369747899	26	26	1.0	0.9951020408163265	1.0
PRJNA673295	P20	0	0		0	0	0.9197211806480727	0.8609363745498199	26	26	0.7931034482758621	0.9465066026410562	1.0
PRJNA673295	P35	0	0		0	0	0.4411035498950446	0.5486194477791116	26	40	0.5714285714285714	0.7933253301320528	0.95
PRJNA673745	A	9	9	1.0	0	0	0.9999451409147151	0.9997118847539016	32	31	0.96875	0.9938535414165666	1.0
PRJNA673745	P5	9	9	1.0	0	0	0.9999451592343385	0.9999039615846338	32	32	1.0	0.991452581032413	1.0
PRJNA673745	P10	9	9	1.0	0	0	0.999945073107945	0.9999039615846338	32	32	1.0	0.9928931572629051	1.0
PRJNA673745	P20	9	8	0.8888888888888888	0	1	0.8848418590381107	0.9759903961584634	32	33	0.8571428571428571	0.9833853541416566	1.0
PRJNA673745	P35	9	2	0.2222222222222222	0	7	0.41109863058844465	0.6316926770708284	32	42	0.7209302325581395	0.8287635054021608	1.0
PRJNA734133	A	429	429	1.0	0	0	0.9999897198303584	0.9988475390156061	32	31	0.96875	0.9982713085234093	1.0
PRJNA734133	P5	429	433	0.9241071428571429	19	15	0.9952795751923146	0.9930852340936375	32	32	0.9393939393939394	0.9900120048019206	1.0
PRJNA734133	P10	429	433	0.9241071428571429	19	15	0.9952795775982491	0.9930852340936375	32	31	0.96875	0.9972148859543817	1.0
PRJNA734133	P20	429	419	0.8802660753880266	22	32	0.9797148098141524	0.9773349339735894	32	31	0.96875	0.9906842737094838	1.0
PRJNA734133	P35	429	294	0.5548387096774193	36	171	0.8741707157892648	0.87015606242497	32	38	0.8421052631578947	0.9861704681872748	1.0
PRJNA752868	A	309	309	0.9433962264150944	9	9	0.9976605972849759	0.9951980792316926	15	17	0.8823529411764706	0.9956782713085233	1.0
PRJNA752868	P5	309	309	0.9433962264150944	9	9	0.9974917828191784	0.9950060024009604	15	18	0.8333333333333334	0.9939495798319327	1.0
PRJNA752868	P10	309	309	0.9433962264150944	9	9	0.9974913967505593	0.9950060024009604	15	17	0.8823529411764706	0.9949099639855942	1.0
PRJNA752868	P20	309	319	0.7493036211699164	50	40	0.9621572961635675	0.9515966386554622	15	21	0.6363636363636364	0.9910684273709482	1.0
PRJNA752868	P35	309	0	0.0	0	309			15	0	0.0		
PRJNA767228	A	10879	11064	0.9427180168216025	416	231	0.9856141469943883	0.9321008403361344	39	32	0.8205128205128205	0.9959663865546219	1.0
PRJNA767228	P5	10879	11062	0.9437455705173635	409	226	0.9867562986886768	0.9520768307322929	39	33	0.8461538461538461	0.9961584633853541	1.0
PRJNA767228	P10	10879	11027	0.9433995741660752	393	245	0.9849164354027921	0.950828331332533	39	33	0.8461538461538461	0.9954861944777911	1.0
PRJNA767228	P20	10879	10943	0.9081846799580273	557	493	0.931768923005734	0.9310444177671068	39	30	0.7692307692307693	0.9940456182472988	1.0
PRJNA767228	P35	10879	0	0.0	0	10879			39	0	0.0		
PRJNA786266	A	92	92	1.0	0	0	0.9999196800988887	0.9998079231692677	15	15	0.875	0.9955822328931572	1.0
PRJNA786266	P5	92	94	0.9787234042553191	2	0	0.9940708008106822	0.9952941176470588	15	15	1.0	0.9957743097238896	1.0
PRJNA786266	P10	92	94	0.9787234042553191	2	0	0.9940538248076045	0.9952941176470588	15	14	0.9333333333333333	0.9946218487394957	1.0
PRJNA786266	P20	92	129	0.5785714285714286	48	11	0.9257565570578034	0.6900840336134454	15	13	0.8666666666666667	0.9782953181272509	1.0
PRJNA786266	P35	92	12	0.10638297872340426	2	82	0.6441033814513827	0.09992797118847539	15	30	0.40625	0.9001200480192078	0.9
PRJNA788948	A	0	0		0	0	0.995427910198559	0.9664825930372148	33	33	0.9411764705882353	0.9961584633853541	1.0
PRJNA788948	P5	0	0		0	0	0.9941355632839138	0.9793517406962784	33	32	0.9696969696969697	0.9961584633853541	1.0
PRJNA788948	P10	0	0		0	0	0.9935651025141534	0.9776230492196878	33	33	0.9411764705882353	0.9942376950780313	1.0
PRJNA788948	P20	0	0		0	0	0.7543059302630156	0.6280432172869147	33	31	0.8823529411764706	0.9822328931572628	1.0
PRJNA788948	P35	0	0		0	0			33	0	0.0		
PRJNA838478	A	713	733	0.8029925187032418	89	69	0.9761228781091993	0.7393517406962784	20	20	1.0	0.99078031212485	1.0
PRJNA838478	P5	713	732	0.8017456359102244	89	70	0.9760942674951937	0.7393517406962784	20	21	0.9523809523809523	0.9893397358943576	1.0
PRJNA838478	P10	713	733	0.800747198007472	90	70	0.9760879490169989	0.7393517406962784	20	20	1.0	0.9889555822328931	1.0
PRJNA838478	P20	713	989	0.502206531332745	420	144	0.9136599881411784	0.5500600240096039	20	20	0.8181818181818182	0.9457382953181271	1.0
